Date,Per Night,Month-Year
2022-04-23,179.5,04/2022
2022-04-24,179.5,04/2022
2022-04-27,130.8,04/2022
2022-04-28,130.8,04/2022
2022-04-29,130.8,04/2022
2022-04-30,130.8,04/2022
2022-05-01,130.8,05/2022
2022-05-02,130.8,05/2022
2022-05-03,130.8,05/2022
2022-05-04,130.8,05/2022
2022-05-05,130.8,05/2022
2022-05-06,130.8,05/2022
2022-05-07,130.8,05/2022
2022-05-08,130.8,05/2022
2022-05-09,130.8,05/2022
2022-05-10,130.8,05/2022
2022-05-11,130.8,05/2022
2022-05-12,130.8,05/2022
2022-05-13,130.8,05/2022
2022-05-14,130.8,05/2022
2022-05-15,130.8,05/2022
2022-05-16,130.8,05/2022
2022-05-17,130.8,05/2022
2022-05-18,130.8,05/2022
2022-05-19,130.8,05/2022
2022-05-20,130.8,05/2022
2022-05-21,130.8,05/2022
2022-05-22,130.8,05/2022
2022-05-23,130.8,05/2022
2022-05-24,130.8,05/2022
2022-05-25,130.8,05/2022
2022-05-26,130.8,05/2022
2022-06-01,172.8,06/2022
2022-06-02,172.8,06/2022
2022-06-03,172.8,06/2022
2022-06-04,172.8,06/2022
2022-06-05,172.8,06/2022
2022-06-06,172.8,06/2022
2022-06-07,172.8,06/2022
2022-06-13,181.11,06/2022
2022-06-14,181.11,06/2022
2022-06-15,181.11,06/2022
2022-06-16,181.11,06/2022
2022-06-17,181.11,06/2022
2022-06-18,181.11,06/2022
2022-06-24,167.98,06/2022
2022-06-25,167.98,06/2022
2022-06-26,167.98,06/2022
2022-06-27,167.98,06/2022
2022-06-28,167.98,06/2022
2022-06-29,167.98,06/2022
2022-06-30,167.98,06/2022
2022-07-01,167.98,07/2022
2022-07-02,167.98,07/2022
2022-07-03,167.98,07/2022
2022-07-04,167.98,07/2022
2022-07-07,174.33,07/2022
2022-07-08,174.33,07/2022
2022-07-09,174.33,07/2022
2022-07-10,174.33,07/2022
2022-07-11,174.33,07/2022
2022-07-12,174.33,07/2022
2022-07-13,174.33,07/2022
2022-07-14,174.33,07/2022
2022-07-15,174.33,07/2022
2022-07-21,211.47,07/2022
2022-07-22,211.47,07/2022
2022-07-23,211.47,07/2022
2022-07-24,211.47,07/2022
2022-07-25,211.47,07/2022
2022-07-26,211.47,07/2022
